year, so4
1765, 16.14800946886166
1766, 20.643918596592272
1767, 27.83737320096128
1768, 36.22973690605845
1769, 36.22973690605845
1770, 23.791054986003715
1771, 14.199782180178374
1772, 12.476350347881649
1773, 12.40141852908613
1774, 15.248827643315536
1775, 19.4450094958641
1776, 15.248827643315522
1777, 25.739282274686985
1778, 24.989964086731874
1779, 18.845554945500027
1780, 11.652100341131032
1781, 12.70114580426818
1782, 18.845554945500027
1783, 21.99269133491147
1784, 15.248827643315536
1785, 16.89732765681677
1786, 27.237918650597194
1787, 41.6248278593352
1788, 22.742009522866567
1789, 84.78555548554917
1790, 118.95446485630191
1791, 75.79373723008793
1792, 54.812827967345015
1793, 50.61664611479644
1794, 72.79646447826751
1795, 48.81828246370418
1796, 41.02537330897111
1797, 32.63300960387393
1798, 44.02264606079153
1799, 52.11528249070665
1800, 39.22700965787885
1801, 20.044464046228185
1802, 13.450463992223291
1803, 18.24610039513594
1804, 24.540373173958827
1805, 18.24610039513594
1806, 16.447736744043695
1807, 22.44228224768453
1808, 13.750191267405313
1809, 13.300600354632266
1810, 14.64937309295145
1811, 11.652100341131018
1812, 18.845554945500027
1813, 27.837373200961267
1814, 26.03900954986902
1815, 15.248827643315536
1816, 13.263134445234506
1817, 11.277441247153476
1818, 12.95091853358656
1819, 12.551282166677169
1820, 9.2542821396747
1821, 5.65755483749021
1822, 13.300600354632252
1823, 19.669804952250644
1824, 24.840100449140863
1825, 26.938191375415144
1826, 35.03082780533026
1827, 45.22155516151969
1828, 41.624827859335184
1829, 21.243373146956372
1830, 20.643918596592272
1831, 39.22700965787885
1832, 32.633009603873944
1833, 60.207918920621765
1834, 59.009009819893606
1835, 28.436827751325353
1836, 18.246100395135954
1837, 19.544918587591468
1838, 22.44228224768453
1839, 32.63300960387393
1840, 18.845554945500027
1841, 18.32103221393146
1842, 13.300600354632266
1843, 27.38778228818822
1844, 47.619373362976006
1845, 59.009009819893606
1846, 52.41500976588868
1847, 30.235191402417612
1848, 21.69296405972942
1849, 21.842827697320445
1850, 29.036282301689454
1851, 17.646645844771868
1852, 28.286964113734342
1853, 25.43955499950495
1854, 20.0444640462282
1855, 15.248827643315522
1856, 18.395964032726965
1857, 21.24337314695636
1858, 23.041736798048618
1859, 16.148009468861645
1860, 17.946373119953904
1861, 15.248827643315522
1862, 24.840100449140863
1863, 33.232464154238016
1864, 42.82373696006334
1865, 34.43137325496619
1866, 23.341464073230654
1867, 24.840100449140863
1868, 15.848282193679609
1869, 18.695691307909016
1870, 17.346918569589832
1871, 20.0444640462282
1872, 26.638464100233108
1873, 27.837373200961267
1874, 19.74473677104615
1875, 25.43955499950495
1876, 43.42319151042743
1877, 29.03628230168944
1878, 21.842827697320445
1879, 39.826464208242925
1880, 67.40137352499076
1881, 35.63028235569435
1882, 27.912305019756786
1883, 18.945464037227396
1884, 29.036282301689454
1885, 34.73110053014824
1886, 31.43410050314577
1887, 33.8319187046021
1888, 42.52400968488132
1889, 28.436827751325353
1890, 19.74473677104615
1891, 24.390509536367787
1892, 25.739282274686985
1893, 26.039009549869036
1894, 32.633009603873944
1895, 36.82919145642252
1896, 22.44228224768453
1897, 18.545827670317976
1898, 23.641191348412704
1899, 27.162986831801675
1900, 37.42864600678661
1901, 61.10710074616789
1902, 39.22700965787885
1903, 32.782873241464955
1904, 39.826464208242925
1905, 45.22155516151969
1906, 27.23791865059718
1907, 33.83191870460212
1908, 52.714737041070734
1909, 32.48314596628292
1910, 18.246100395135954
1911, 15.848282193679609
1912, 24.840100449140863
1913, 33.382327791829056
1914, 49.41773701406828
1915, 58.40955526952952
1916, 19.4450094958641
1917, 26.039009549869036
1918, 39.07714602028784
1919, 34.43137325496619
1920, 28.511759570120873
1921, 22.442282247684517
1922, 15.248827643315522
1923, 11.352373065948996
1924, 17.646645844771868
1925, 27.237918650597194
1926, 29.635736852053526
1927, 30.8346459527817
1928, 26.93819137541516
1929, 30.235191402417612
1930, 38.02810055715068
1931, 32.932736879055994
1932, 35.10575962412578
1933, 29.03628230168944
1934, 20.643918596592272
1935, 21.842827697320445
1936, 24.840100449140863
1937, 34.43137325496619
1938, 22.742009522866567
1939, 33.53219142942007
1940, 32.633009603873944
1941, 37.65344146317314
1942, 37.42864600678661
1943, 35.03082780533026
1944, 85.98446458627734
1945, 118.35501030593782
1946, 51.81555521552461
1947, 47.019918812611934
1948, 38.02810055715068
1949, 31.43410050314577
1950, 43.42319151042743
1951, 53.01446431625277
1952, 45.22155516151969
1953, 23.641191348412704
1954, 17.646645844771854
1955, 29.036282301689454
1956, 46.12073698706581
1957, 42.52400968488132
1958, 45.746077893088255
1959, 44.622100611155616
1960, 33.232464154238016
1961, 42.82373696006334
1962, 34.43137325496619
1963, 39.826464208242925
1964, 33.83191870460212
1965, 43.797850604404985
1966, 44.097577879587035
1967, 48.51855518852214
1968, 42.22428240969927
1969, 47.694305181771526
1970, 44.92182788633764
1971, 42.32419150142661
1972, 48.21882791334009
1973, 60.20791892062175
1974, 41.624827859335184
1975, 55.4122825177091
1976, 76.39319178045201
1977, 56.01173706807319
1978, 71.2978281023573
1979, 56.61119161843726
1980, 43.12346423524539
1981, 57.81010071916543
1982, 71.2978281023573
1983, 41.02537330897111
1984, 31.73382777832782
1985, 33.83191870460212
1986, 46.42046426224785
1987, 55.11255524252705
1988, 45.27150970738336
1989, 55.4122825177091
1990, 83.88637366000304
1991, 109.66291932565862
1992, 100.97082834537942
1993, 90.48037371400795
1994, 103.36864654683575
1995, 75.79373723008793
1996, 65.60300987389851
