year, so4
1880,67.40137352
1881,35.63028236
1882,27.91230502
1883,18.94546404
1884,29.0362823
1885,34.73110053
1886,31.4341005
1887,33.8319187
1888,42.52400968
1889,28.43682775
1890,19.74473677
1891,24.39050954
1892,25.73928227
1893,26.03900955
1894,32.6330096
1895,36.82919146
1896,22.44228225
1897,18.54582767
1898,23.64119135
1899,27.16298683
1900,37.42864601
1901,61.10710075
1902,39.22700966
1903,32.78287324
1904,39.82646421
1905,45.22155516
1906,27.23791865
1907,33.8319187
1908,52.71473704
1909,32.48314597
1910,18.2461004
1911,15.84828219
1912,24.84010045
1913,33.38232779
1914,49.41773701
1915,58.40955527
1916,19.4450095
1917,26.03900955
1918,39.07714602
1919,34.43137325
1920,28.51175957
1921,22.44228225
1922,15.24882764
1923,11.35237307
1924,17.64664584
1925,27.23791865
1926,29.63573685
1927,30.83464595
1928,26.93819138
1929,30.2351914
1930,38.02810056
1931,32.93273688
1932,35.10575962
1933,29.0362823
1934,20.6439186
1935,21.8428277
1936,24.84010045
1937,34.43137325
1938,22.74200952
1939,33.53219143
1940,32.6330096
1941,37.65344146
1942,37.42864601
1943,35.03082781
1944,85.98446459
1945,118.3550103
1946,51.81555522
1947,47.01991881
1948,38.02810056
1949,31.4341005
1950,43.42319151
1951,53.01446432
1952,45.22155516
1953,23.64119135
1954,17.64664584
1955,29.0362823
1956,46.12073699
1957,42.52400968
1958,45.74607789
1959,44.62210061
1960,33.23246415
1961,42.82373696
1962,34.43137325
1963,39.82646421
1964,33.8319187
1965,43.7978506
1966,44.09757788
1967,48.51855519
1968,42.22428241
1969,47.69430518
1970,44.92182789
1971,42.3241915
1972,48.21882791
1973,60.20791892
1974,41.62482786
1975,55.41228252
1976,76.39319178
1977,56.01173707
1978,71.2978281
1979,56.61119162
1980,43.12346424
1981,57.81010072
1982,71.2978281
1983,41.02537331
1984,31.73382778
1985,33.8319187
1986,46.42046426
1987,55.11255524
1988,45.27150971
1989,55.41228252
1990,83.88637366
1991,109.6629193
1992,100.9708283
1993,90.48037371
1994,103.3686465
1995,75.79373723
1996,65.60300987
1997,31.73382778
1998,33.8319187
1999,46.42046426
2000,55.11255524
2001,45.27150971
2002,55.41228252
2003,83.88637366
2004,109.6629193
2005,100.9708283
2006,90.48037371
2007,103.3686465
2008,75.79373723
2009,65.60300987
2010,55.41228252
2011,83.88637366
2012,109.6629193
2013,100.9708283
2014,90.48037371
2015,103.3686465
2016,75.79373723
2017,65.60300987
2018,43.8228279
2019,24.94000959
2020,50
