Time,CO2 (ppm),CH4 (ppb),N2O (ppb),CFC_11 (ppb),CFC_12 (ppb)
2020,413.0945398,1907.037628,332.6779242,0.222270807,0.500863096
2020.041701,413.1947778,1907.377404,332.7177669,0.222198058,0.500731373
2020.083403,413.2950618,1907.717117,332.757623,0.222125309,0.500599493
2020.125104,413.3953917,1908.056767,332.7974926,0.22205256,0.500467458
2020.166806,413.4957677,1908.396354,332.8373757,0.221979812,0.500335265
2020.208507,413.5961898,1908.735879,332.8772722,0.221907063,0.500202916
2020.250209,413.6966579,1909.07534,332.9171822,0.221834314,0.500070411
2020.29191,413.797172,1909.414739,332.9571056,0.221761565,0.499937749
2020.333611,413.8977323,1909.754076,332.9970425,0.221688816,0.49980493
2020.375313,413.9983386,1910.09335,333.0369929,0.221616067,0.499671956
2020.417014,414.098991,1910.432561,333.0769566,0.221543318,0.499538824
2020.458716,414.1996895,1910.77171,333.1169339,0.221470569,0.499405536
2020.500417,414.3004341,1911.110796,333.1569246,0.22139782,0.499272092
2020.542118,414.4012249,1911.449821,333.1969287,0.221325072,0.499138491
2020.58382,414.5020618,1911.788783,333.2369463,0.221252323,0.499004734
2020.625521,414.6029449,1912.127683,333.2769773,0.221179574,0.49887082
2020.667223,414.7038741,1912.466521,333.3170218,0.221106825,0.49873675
2020.708924,414.8048495,1912.805297,333.3570797,0.221034076,0.498602523
2020.750626,414.9058711,1913.144012,333.3971511,0.220961327,0.49846814
2020.792327,415.0069389,1913.482664,333.4372359,0.220888578,0.4983336
2020.834028,415.1080529,1913.821255,333.4773342,0.220815829,0.498198904
2020.87573,415.2092131,1914.159784,333.5174459,0.22074308,0.498064051
2020.917431,415.3104195,1914.498251,333.5575711,0.220670332,0.497929042
2020.959133,415.4116722,1914.836657,333.5977097,0.220597583,0.497793876
2021.000834,415.5129712,1915.175002,333.6378618,0.220524834,0.497658554
2021.042535,415.6143164,1915.513285,333.6780273,0.220452085,0.497523075
2021.084237,415.7157079,1915.851507,333.7182062,0.220379336,0.49738744
2021.125938,415.8171457,1916.189668,333.7583986,0.220306587,0.497251649
2021.16764,415.9186298,1916.527767,333.7986044,0.220233838,0.497115701
2021.209341,416.0201602,1916.865806,333.8388237,0.220161089,0.496979596
2021.251043,416.121737,1917.203783,333.8790565,0.22008834,0.496843336
2021.292744,416.2233601,1917.5417,333.9193026,0.220015592,0.496706918
2021.334445,416.3250295,1917.879556,333.9595622,0.219942843,0.496570345
2021.376147,416.4267453,1918.21735,333.9998353,0.219870094,0.496433614
2021.417848,416.5285075,1918.555085,334.0401218,0.219797345,0.496296728
2021.45955,416.630316,1918.892758,334.0804217,0.219724596,0.496159685
2021.501251,416.732171,1919.230371,334.1207351,0.219651847,0.496022485
2021.542952,416.8340723,1919.567924,334.161062,0.219579098,0.49588513
2021.584654,416.9360201,1919.905416,334.2014022,0.219506349,0.495747618
2021.626355,417.0380143,1920.242847,334.2417559,0.2194336,0.495609949
2021.668057,417.140055,1920.580219,334.2821231,0.219360852,0.495472124
2021.709758,417.2421421,1920.91753,334.3225037,0.219288103,0.495334143
2021.75146,417.3442757,1921.254781,334.3628977,0.219215354,0.495196005
2021.793161,417.4464558,1921.591972,334.4033052,0.219142605,0.495057711
2021.834862,417.5486824,1921.929103,334.4437261,0.219069856,0.494919261
2021.876564,417.6509554,1922.266174,334.4841604,0.218997107,0.494780654
2021.918265,417.753275,1922.603185,334.5246082,0.218924358,0.494641891
2021.959967,417.8556411,1922.940136,334.5650695,0.218851609,0.494502972
2022.001668,417.9580538,1923.277028,334.6055441,0.21877886,0.494363896
2022.043369,418.060513,1923.61386,334.6460322,0.218706112,0.494224665
2022.085071,418.1630187,1923.950632,334.6865338,0.218633363,0.494085276
2022.126772,418.2655711,1924.287345,334.7270487,0.218560614,0.493945732
2022.168474,418.36817,1924.623999,334.7675772,0.218487865,0.493806031
2022.210175,418.4708156,1924.960593,334.808119,0.218415116,0.493666174
2022.251877,418.5735077,1925.297127,334.8486743,0.218342367,0.493526161
2022.293578,418.6762465,1925.633603,334.889243,0.218269618,0.493385992
2022.335279,418.7790319,1925.970019,334.9298252,0.218196869,0.493245666
2022.376981,418.8818639,1926.306376,334.9704208,0.21812412,0.493105185
2022.418682,418.9847427,1926.642674,335.0110299,0.218051372,0.492964547
2022.460384,419.087668,1926.978914,335.0516523,0.217978623,0.492823753
2022.502085,419.1906401,1927.315094,335.0922882,0.217905874,0.492682803
2022.543786,419.2936589,1927.651215,335.1329376,0.217833125,0.492541696
2022.585488,419.3967244,1927.987278,335.1736004,0.217760376,0.492400434
2022.627189,419.4998366,1928.323282,335.2142766,0.217687627,0.492259015
2022.668891,419.6029955,1928.659228,335.2549662,0.217614878,0.492117441
2022.710592,419.7062012,1928.995114,335.2956693,0.217542129,0.49197571
2022.752294,419.8094537,1929.330943,335.3363859,0.21746938,0.491833823
2022.793995,419.9127529,1929.666713,335.3771158,0.217396632,0.49169178
2022.835696,420.0160989,1930.002424,335.4178592,0.217323883,0.491549581
2022.877398,420.1194917,1930.338077,335.458616,0.217251134,0.491407227
2022.919099,420.2229312,1930.673672,335.4993863,0.217178385,0.491264716
2022.960801,420.3264177,1931.009209,335.54017,0.217105636,0.491122049
2023.002502,420.4299509,1931.344688,335.5809671,0.217032887,0.490979226
2023.044204,420.533531,1931.680109,335.6217777,0.216960138,0.490836247
2023.085905,420.637158,1932.015472,335.6626017,0.216887389,0.490693113
2023.127606,420.7408318,1932.350777,335.7034391,0.21681464,0.490549822
2023.169308,420.8445525,1932.686024,335.74429,0.216741892,0.490406376
2023.211009,420.9483201,1933.021213,335.7851542,0.216669143,0.490262773
2023.252711,421.0521346,1933.356345,335.826032,0.216596394,0.490119015
2023.294412,421.155996,1933.691419,335.8669231,0.216523645,0.489975101
2023.336113,421.2599043,1934.026435,335.9078277,0.216450896,0.489831032
2023.377815,421.3638596,1934.361394,335.9487457,0.216378147,0.489686806
2023.419516,421.4678619,1934.696296,335.9896772,0.216305398,0.489542425
2023.461218,421.5719111,1935.03114,336.0306221,0.216232649,0.489397888
2023.502919,421.6760073,1935.365927,336.0715804,0.2161599,0.489253195
2023.544621,421.7801505,1935.700657,336.1125522,0.216087152,0.489108346
2023.586322,421.8843407,1936.035329,336.1535374,0.216014403,0.488963342
2023.628023,421.9885779,1936.369945,336.194536,0.215941654,0.488818183
2023.669725,422.0928621,1936.704503,336.235548,0.215868905,0.488672867
2023.711426,422.1971934,1937.039005,336.2765735,0.215796156,0.488527396
2023.753128,422.3015717,1937.373449,336.3176124,0.215723407,0.488381769
2023.794829,422.4059972,1937.707837,336.3586647,0.215650658,0.488235987
2023.83653,422.5104696,1938.042168,336.3997305,0.215577909,0.488090049
2023.878232,422.6149892,1938.376442,336.4408097,0.21550516,0.487943956
2023.919933,422.7195559,1938.71066,336.4819024,0.215432412,0.487797707
2023.961635,422.8241697,1939.044821,336.5230084,0.215359663,0.487651303
2024.003336,422.9288307,1939.378925,336.5641279,0.215286914,0.487504744
2024.045038,423.0335388,1939.712973,336.6052609,0.215214165,0.487358028
2024.086739,423.138294,1940.046965,336.6464072,0.215141416,0.487211158
2024.12844,423.2430964,1940.3809,336.687567,0.215068667,0.487064132
2024.170142,423.347946,1940.714779,336.7287402,0.214995918,0.486916951
2024.211843,423.4528428,1941.048602,336.7699269,0.214923169,0.486769615
2024.253545,423.5577868,1941.382369,336.811127,0.21485042,0.486622123
2024.295246,423.662778,1941.71608,336.8523405,0.214777672,0.486474476
2024.336947,423.7678164,1942.049734,336.8935674,0.214704923,0.486326673
2024.378649,423.8729021,1942.383333,336.9348078,0.214632174,0.486178716
2024.42035,423.9780351,1942.716876,336.9760616,0.214559425,0.486030603
2024.462052,424.0832153,1943.050363,337.0173288,0.214486676,0.485882335
2024.503753,424.1884428,1943.383794,337.0586095,0.214413927,0.485733913
2024.545455,424.2937176,1943.71717,337.0999036,0.214341178,0.485585334
2024.587156,424.3990397,1944.05049,337.1412111,0.214268429,0.485436601
2024.628857,424.5044091,1944.383754,337.1825321,0.21419568,0.485287713
2024.670559,424.6098259,1944.716963,337.2238665,0.214122932,0.48513867
2024.71226,424.71529,1945.050117,337.2652143,0.214050183,0.484989472
2024.753962,424.8208015,1945.383215,337.3065755,0.213977434,0.484840119
2024.795663,424.9263603,1945.716258,337.3479502,0.213904685,0.484690611
2024.837364,425.0319666,1946.049245,337.3893383,0.213831936,0.484540948
2024.879066,425.1376202,1946.382178,337.4307399,0.213759187,0.484391131
2024.920767,425.2433213,1946.715055,337.4721548,0.213686438,0.484241158
2024.962469,425.3490697,1947.047877,337.5135832,0.213613689,0.484091031
2025.00417,425.4548657,1947.380645,337.5550251,0.21354094,0.483940749
2025.045872,425.560709,1947.713357,337.5964803,0.213468192,0.483790312
2025.087573,425.6665999,1948.046014,337.637949,0.213395443,0.48363972
2025.129274,425.7725382,1948.378617,337.6794311,0.213322694,0.483488974
2025.170976,425.878524,1948.711165,337.7209267,0.213249945,0.483338074
2025.212677,425.9845573,1949.043658,337.7624357,0.213177196,0.483187018
2025.254379,426.0906381,1949.376096,337.8039581,0.213104447,0.483035808
