Time,CO2(ppm),N2O(ppb),CH4(ppb)
2020,413.0945398,332.6779242,1907.037628
2021.000834,415.4373703,333.6255656,1915.122922
2022.001668,417.6794385,334.5622918,1923.018419
2023.002502,419.8229482,335.4877615,1930.725199
2024.003336,421.8701035,336.4016333,1938.244345
2025.00417,423.8231084,337.3035661,1945.576937
2026.005004,425.6841667,338.1932185,1952.724058
2027.005838,427.4554826,339.0702493,1959.686788
2028.006672,429.1392599,339.9343172,1966.466211
2029.007506,430.7377027,340.785081,1973.063407
2030.00834,432.2530149,341.6221993,1979.479458
2031.009174,433.6874004,342.445331,1985.715445
2032.010008,435.0430633,343.2541347,1991.77245
2033.010842,436.3222075,344.0482691,1997.651556
2034.011676,437.5270371,344.827393,2003.353842
2035.01251,438.6597559,345.5911652,2008.880392
2036.013344,439.7225679,346.3392443,2014.232287
2037.014178,440.7176772,347.0712891,2019.410607
2038.015013,441.6472877,347.7869583,2024.416436
2039.015847,442.5136033,348.4859106,2029.250854
2040.016681,443.3188281,349.1678048,2033.914943
2041.017515,444.0651659,349.8322997,2038.409785
2042.018349,444.7548209,350.4790538,2042.736461
2043.019183,445.3899969,351.1077261,2046.896054
2044.020017,445.9728979,351.7179751,2050.889644
2045.020851,446.505728,352.3094596,2054.718313
2046.021685,446.990691,352.8818384,2058.383143
2047.022519,447.4299909,353.4347702,2061.885215
2048.023353,447.8258318,353.9679137,2065.225612
2049.024187,448.1804176,354.4809276,2068.405414
2050.025021,448.4959522,354.9734707,2071.425703
2051.025855,448.7746397,355.4452018,2074.287562
2052.026689,449.018684,355.8957794,2076.992071
2053.027523,449.2302891,356.3248624,2079.540312
2054.028357,449.4116589,356.7321096,2081.933367
2055.029191,449.5649974,357.1171795,2084.172317
2056.030025,449.6925087,357.479731,2086.258245
2057.030859,449.7963966,357.8194228,2088.192231
2058.031693,449.8788652,358.1359136,2089.975357
2059.032527,449.9421184,358.4288621,2091.608706
2060.033361,449.9883602,358.6979271,2093.093358
2061.034195,450.0197945,358.9427674,2094.430394
2062.035029,450.0386254,359.1630415,2095.620898
2063.035863,450.0470568,359.3584084,2096.66595
2064.036697,450.0472927,359.5285266,2097.566632
2065.037531,450.0415371,359.6730549,2098.324026
2066.038365,450.0319938,359.7916521,2098.939213
2067.039199,450.020867,359.8839769,2099.413274
2068.040033,450.0103606,359.949688,2099.747293
2069.040867,450.0026785,359.9884442,2099.942349
2070,450.0027,359.9884,2099.942
