year, CFC11
1948, 0.0017950968101134723
1949, 0.0018518771932876932
1950, 0.0023283622559123196
1951, 0.002546623155566178
1952, 0.002552319276808157
1953, 0.003282856513375906
1954, 0.004880767060066412
1955, 0.0059992562216175755
1956, 0.008459061382829619
1957, 0.011010034622121313
1958, 0.014601423996099604
1959, 0.019079503549107958
1960, 0.022566228955630006
1961, 0.026839088411425856
1962, 0.032645578783588085
1963, 0.03734037013237813
1964, 0.04354096036555271
1965, 0.04856653300941768
1966, 0.055873755430497773
1967, 0.060876423639328374
1968, 0.06666511137224378
1969, 0.07592770475740412
1970, 0.0843730907637125
1971, 0.08998168968375643
1972, 0.09626165102379658
1973, 0.10413094800334867
1974, 0.11322369346634288
1975, 0.1216396215840134
1976, 0.12942725530901783
1977, 0.13734588775164905
1978, 0.1426178291702608
1979, 0.15664206118232094
1980, 0.16436250712681846
1981, 0.1721571291941184
1982, 0.18118159042286613
1983, 0.19245042920975897
1984, 0.2103958937388365
1985, 0.22256053862195277
1986, 0.23212101141704025
1987, 0.2400402888955958
1988, 0.25368514513986856
1989, 0.26183178086099956
1990, 0.2677239720085451
1991, 0.2734114737231647
1992, 0.2734114737231647
1993, 0.2734114737231647
1994, 0.2734114737231647
1995, 0.2734114737231647
1996, 0.2734114737231647
1997, 0.2734114737231647
1998, 0.2734114737231647
