"Caspar Ammann's volcanic forcing, referenced to 850-949 mean, extended beyond 1999 by constant",
1880,0.122
1881,0.122
1882,0.122
1883,-0.608
1884,-1.985
1885,-0.583
1886,-0.011
1887,0.109
1888,0.119
1889,0.121
1890,-0.509
1891,-0.285
1892,0.009
1893,0.111
1894,0.119
1895,0.121
1896,0.122
1897,0.122
1898,0.122
1899,0.122
1900,0.122
1901,0.122
1902,-0.213
1903,-1.582
1904,-0.48
1905,0.043
1906,0.11
1907,-0.003
1908,0.076
1909,0.116
1910,0.121
1911,0.122
1912,-0.142
1913,-0.106
1914,0.092
1915,0.118
1916,0.121
1917,0.122
1918,0.122
1919,0.122
1920,0.122
1921,0.119
1922,-0.007
1923,0.11
1924,0.12
1925,0.121
1926,0.122
1927,0.122
1928,0.03
1929,-0.186
1930,-0.005
1931,-0.014
1932,0.086
1933,0.118
1934,0.121
1935,0.122
1936,0.122
1937,0.122
1938,0.122
1939,0.122
1940,0.122
1941,0.122
1942,0.122
1943,0.122
1944,0.122
1945,0.122
1946,0.122
1947,0.122
1948,0.122
1949,0.122
1950,0.122
1951,0.122
1952,0.122
1953,0.085
1954,0.077
1955,0.116
1956,0.121
1957,0.122
1958,0.122
1959,0.122
1960,0.122
1961,0.122
1962,0.122
1963,-0.796
1964,-0.61
1965,-0.045
1966,0.106
1967,0.118
1968,-0.102
1969,-0.21
1970,0.026
1971,0.112
1972,0.119
1973,0.121
1974,0.09
1975,-0.177
1976,0.011
1977,0.107
1978,0.119
1979,0.121
1980,0.122
1981,0.122
1982,-0.593
1983,-0.723
1984,-0.083
1985,0.102
1986,0.117
1987,0.121
1988,0.122
1989,0.122
1990,0.122
1991,-0.767
1992,-1.245
1993,-0.268
1994,0.086
1995,0.114
1996,0.12
1997,0.121
1998,0.122
1999,0.122
2000,0.122
2001,0.122
2002,-0.593
2003,-0.723
2004,-0.083
2005,0.102
2006,0.117
2007,0.121
2008,0.122
2009,0.122
2010,0.122
2011,-0.767
2012,-1.245
2013,-0.268
2014,0.086
2015,0.114
2016,0.12
2017,0.121
2018,0.122
2019,0.122
2020,0.122
